Date : 2022/09/13 (TUE)
Time : 10:30:05
   Film : Pattern         Review Cam  
     X        Y         X        Y    
  153.00 -0.02772    153.00  0.00000  
  154.00  0.02246    154.00  0.00000  
  155.00  0.03087    155.00  0.00000  
  156.00  0.00000    156.00  0.00000  
  157.00 -0.01366    157.00  0.00000  
  158.00 -0.02323    158.00  0.00000  
  159.00  0.00000    159.00  0.00000  
  160.00  0.01283    160.00  0.00000  
  161.00  0.01436    161.00  0.00000  
  162.00  0.00477    162.00  0.00000  
  163.00 -0.01497    163.00  0.00000  
  164.00 -0.01816    164.00  0.00000  
  165.00 -0.01001    165.00  0.00000  
  166.00 -0.00777    166.00  0.00000  
  167.00 -0.00482    167.00  0.00000  
  168.00  0.00841    168.00  0.00000  
  169.00  0.01461    169.00  0.00000  
  170.00  0.01167    170.00  0.00000  
  171.00  0.00000    171.00  0.00000  
  172.00 -0.00777    172.00  0.00000  
  173.00 -0.01565    173.00  0.00000  
  174.00 -0.00864    174.00  0.00000  
  175.00  0.00000    175.00  0.00000  
  176.00 -0.00309    176.00  0.00000  
  177.00  0.00000    177.00  0.00000  
  178.00  0.00677    178.00  0.00000  
  179.00  0.00393    179.00  0.00000  
  180.00 -0.00815    180.00  0.00000  
  181.00 -0.01532    181.00  0.00000  
  182.00 -0.01390    182.00  0.00000  
  183.00 -0.01032    183.00  0.00000  
  184.00  0.00000    184.00  0.00000  
  185.00  0.01133    185.00  0.00000  
  186.00  0.02304    186.00  0.00000  
  187.00  0.00000    187.00  0.00000  
  188.00 -0.01166    188.00  0.00000  
  189.00 -0.00893    189.00  0.00000  
  190.00 -0.00971    190.00  0.00000  
  191.00 -0.01228    191.00  0.00000  
  192.00  0.00000    192.00  0.00000  
  193.00  0.01432    193.00  0.00000  
  194.00  0.02047    194.00  0.00000  
  195.00  0.00000    195.00  0.00000  
  196.00 -0.00933    196.00  0.00000  
  197.00 -0.02528    197.00  0.00000  
  198.00 -0.01182    198.00  0.00000  
  199.00 -0.01004    199.00  0.00000  
  200.00  0.00000    200.00  0.00000  
  201.00  0.00803    201.00  0.00000  
  202.00  0.01102    202.00  0.00000  
  203.00 -0.00734    203.00  0.00000  
  204.00 -0.01803    204.00  0.00000  
  205.00 -0.01201    205.00  0.00000  
  206.00 -0.00558    206.00  0.00000  
  207.00  0.00000    207.00  0.00000  
  208.00  0.00609    208.00  0.00000  
  209.00  0.01240    209.00  0.00000  
  210.00  0.01039    210.00  0.00000  
  211.00  0.01139    211.00  0.00000  
  212.00  0.00000    212.00  0.00000  
  213.00 -0.00643    213.00  0.00000  
  214.00 -0.00725    214.00  0.00000  
  215.00  0.00000    215.00  0.00000  
  216.00  0.00875    216.00  0.00000  
  217.00  0.01275    217.00  0.00000  
  218.00  0.01472    218.00  0.00000  
  219.00  0.00385    219.00  0.00000  
  220.00 -0.00622    220.00  0.00000  
  221.00 -0.00677    221.00  0.00000  
  222.00  0.00000    222.00  0.00000  
  223.00  0.00350    223.00  0.00000  
  224.00  0.01079    224.00  0.00000  
  225.00  0.01304    225.00  0.00000  
  226.00  0.01313    226.00  0.00000  
  227.00  0.00364    227.00  0.00000  
  228.00 -0.01076    228.00  0.00000  
  229.00 -0.01682    229.00  0.00000  
  230.00 -0.00920    230.00  0.00000  
  231.00 -0.00439    231.00  0.00000  
  232.00  0.00000    232.00  0.00000  
  233.00  0.01293    233.00  0.00000  
  234.00  0.01549    234.00  0.00000  
  235.00  0.00362    235.00  0.00000  
  236.00 -0.00540    236.00  0.00000  
  237.00 -0.00803    237.00  0.00000  
  238.00  0.00000    238.00  0.00000  
  239.00  0.00845    239.00  0.00000  
  240.00  0.01808    240.00  0.00000  
  241.00  0.01466    241.00  0.00000  
  242.00  0.01777    242.00  0.00000  
  243.00  0.00889    243.00  0.00000  
  244.00  0.00000    244.00  0.00000  
  245.00  0.04191    245.00  0.00000  
  246.00  0.02525    246.00  0.00000  
  247.00 -0.00436    247.00  0.00000  
  248.00 -0.00306    248.00  0.00000  
  249.00  0.01760    249.00  0.00000  
  250.00  0.02202    250.00  0.00000  
  251.00  0.01753    251.00  0.00000  
  252.00  0.00760    252.00  0.00000  
  253.00 -0.00728    253.00  0.00000  
  254.00 -0.01061    254.00  0.00000  
  255.00  0.00425    255.00  0.00000  
  256.00  0.01487    256.00  0.00000  
  257.00  0.02121    257.00  0.00000  
  258.00  0.01010    258.00  0.00000  
  259.00 -0.00326    259.00  0.00000  
  260.00 -0.01488    260.00  0.00000  
  261.00 -0.01283    261.00  0.00000  
  262.00 -0.00705    262.00  0.00000  
  263.00  0.00000    263.00  0.00000  
  264.00  0.00959    264.00  0.00000  
  265.00  0.01920    265.00  0.00000  
  266.00  0.01526    266.00  0.00000  
  267.00  0.00769    267.00  0.00000  
