Date : 2022/09/24 (SAT)
Time : 09:22:37
         UnWinder        OutFeeder 1        OutFeeder 2  
     X        Y         X        Y         X        Y    
  120.00     5.30    120.00     3.40    120.00     2.60  
  121.00     5.30    121.00     3.50    121.00     2.70  
  122.00     5.30    122.00     3.50    122.00     2.60  
  123.00     5.30    123.00     3.50    123.00     2.60  
  124.00     5.30    124.00     3.50    124.00     2.70  
  125.00     5.30    125.00     3.50    125.00     2.70  
  126.00     5.30    126.00     3.50    126.00     2.70  
  127.00     5.30    127.00     3.40    127.00     2.60  
  128.00     5.30    128.00     3.50    128.00     2.60  
  129.00     5.30    129.00     3.40    129.00     2.70  
  130.00     5.30    130.00     3.50    130.00     2.60  
  131.00     5.30    131.00     3.50    131.00     2.60  
  132.00     5.30    132.00     3.50    132.00     2.60  
  133.00     5.30    133.00     3.40    133.00     2.60  
  134.00     5.30    134.00     3.50    134.00     2.60  
  135.00     5.30    135.00     3.50    135.00     2.60  
  136.00     5.30    136.00     3.50    136.00     2.60  
  137.00     5.30    137.00     3.50    137.00     2.60  
  138.00     5.30    138.00     3.50    138.00     2.60  
  139.00     5.30    139.00     3.50    139.00     2.60  
  140.00     5.30    140.00     3.50    140.00     2.60  
  141.00     5.30    141.00     3.50    141.00     2.60  
  142.00     5.30    142.00     3.50    142.00     2.60  
  143.00     5.30    143.00     3.50    143.00     2.60  
  144.00     5.30    144.00     3.50    144.00     2.60  
  145.00     5.30    145.00     3.50    145.00     2.60  
  146.00     5.30    146.00     3.40    146.00     2.60  
  147.00     5.30    147.00     3.50    147.00     2.60  
  148.00     5.30    148.00     3.50    148.00     2.60  
  149.00     5.30    149.00     3.50    149.00     2.60  
  150.00     5.30    150.00     3.50    150.00     2.70  
  151.00     5.30    151.00     3.40    151.00     2.60  
  152.00     5.30    152.00     3.50    152.00     2.60  
  153.00     5.30    153.00     3.50    153.00     2.60  
  154.00     5.30    154.00     3.50    154.00     2.70  
  155.00     5.30    155.00     3.50    155.00     2.60  
  156.00     5.30    156.00     3.40    156.00     2.60  
  157.00     5.30    157.00     3.50    157.00     2.60  
  158.00     5.30    158.00     3.50    158.00     2.60  
  159.00     5.30    159.00     3.50    159.00     2.60  
  160.00     5.30    160.00     3.50    160.00     2.60  
  161.00     5.30    161.00     3.50    161.00     2.70  
  162.00     5.40    162.00     3.40    162.00     2.70  
  163.00     5.30    163.00     3.50    163.00     2.60  
  164.00     5.30    164.00     3.50    164.00     2.60  
  165.00     5.30    165.00     3.50    165.00     2.70  
  166.00     5.30    166.00     3.50    166.00     2.60  
  167.00     5.30    167.00     3.50    167.00     2.60  
  168.00     5.30    168.00     3.40    168.00     2.60  
  169.00     5.30    169.00     3.50    169.00     2.60  
  170.00     5.30    170.00     3.50    170.00     2.60  
  171.00     5.30    171.00     3.50    171.00     2.60  
  172.00     5.30    172.00     3.50    172.00     2.60  
  173.00     5.30    173.00     3.50    173.00     2.60  
  174.00     5.30    174.00     3.40    174.00     2.60  
  175.00     5.30    175.00     3.50    175.00     2.70  
  176.00     5.30    176.00     3.40    176.00     2.60  
  177.00     5.30    177.00     3.50    177.00     2.50  
  178.00     5.30    178.00     3.50    178.00     2.70  
  179.00     5.30    179.00     3.50    179.00     2.60  
  180.00     5.30    180.00     3.50    180.00     2.60  
  181.00     5.30    181.00     3.50    181.00     2.60  
  182.00     5.30    182.00     3.50    182.00     2.60  
  183.00     5.30    183.00     3.50    183.00     2.70  
  184.00     5.30    184.00     3.40    184.00     2.60  
  185.00     5.30    185.00     3.50    185.00     2.60  
  186.00     5.30    186.00     3.50    186.00     2.60  
  187.00     5.30    187.00     3.40    187.00     2.60  
  188.00     5.30    188.00     3.50    188.00     2.60  
  189.00     5.30    189.00     3.50    189.00     2.60  
  190.00     5.30    190.00     3.50    190.00     2.70  
  191.00     5.30    191.00     3.50    191.00     2.60  
  192.00     5.30    192.00     3.50    192.00     2.60  
  193.00     5.30    193.00     3.50    193.00     2.60  
  194.00     5.30    194.00     3.50    194.00     2.70  
  195.00     5.30    195.00     3.50    195.00     2.60  
  196.00     5.30    196.00     3.50    196.00     2.70  
  197.00     5.30    197.00     3.50    197.00     2.60  
  198.00     5.30    198.00     3.40    198.00     2.60  
  199.00     5.30    199.00     3.50    199.00     2.60  
  200.00     5.30    200.00     3.50    200.00     2.60  
  201.00     5.30    201.00     3.50    201.00     2.70  
  202.00     5.30    202.00     3.50    202.00     2.60  
  203.00     5.30    203.00     3.50    203.00     2.60  
  204.00     5.30    204.00     3.50    204.00     2.70  
  205.00     5.30    205.00     3.50    205.00     2.60  
  206.00     5.40    206.00     3.50    206.00     2.70  
  207.00     5.30    207.00     3.40    207.00     2.70  
  208.00     5.30    208.00     3.50    208.00     2.70  
  209.00     5.30    209.00     3.50    209.00     2.60  
  210.00     5.30    210.00     3.50    210.00     2.60  
  211.00     5.30    211.00     3.50    211.00     2.60  
  212.00     5.30    212.00     3.50    212.00     2.70  
  213.00     5.40    213.00     3.50    213.00     2.70  
  214.00     5.30    214.00     3.50    214.00     2.60  
  215.00     5.30    215.00     3.40    215.00     2.60  
  216.00     5.30    216.00     3.40    216.00     2.60  
  217.00     5.30    217.00     3.50    217.00     2.60  
  218.00     5.30    218.00     3.50    218.00     2.70  
  219.00     5.30    219.00     3.50    219.00     2.60  
  220.00     5.30    220.00     3.40    220.00     2.60  
  221.00     5.30    221.00     3.40    221.00     2.60  
  222.00     5.30    222.00     3.50    222.00     2.60  
  223.00     5.30    223.00     3.50    223.00     2.60  
  224.00     5.30    224.00     3.50    224.00     2.60  
