Date : 2022/09/24 (SAT)
Time : 08:20:00
         UnWinder        OutFeeder 1        OutFeeder 2  
     X        Y         X        Y         X        Y    
  120.00     5.30    120.00     3.60    120.00     2.60  
  121.00     5.30    121.00     3.70    121.00     2.50  
  122.00     5.30    122.00     3.60    122.00     2.60  
  123.00     5.60    123.00     3.60    123.00     2.60  
  124.00     5.70    124.00     3.80    124.00     2.70  
  125.00     5.80    125.00     3.60    125.00     2.60  
  126.00     5.50    126.00     3.60    126.00     2.70  
  127.00     5.70    127.00     3.60    127.00     2.70  
  128.00     5.60    128.00     3.40    128.00     2.80  
  129.00     5.50    129.00     3.50    129.00     2.80  
  130.00     5.80    130.00     3.50    130.00     2.80  
  131.00     5.60    131.00     3.60    131.00     2.70  
  132.00     5.70    132.00     3.60    132.00     2.60  
  133.00     5.80    133.00     3.70    133.00     2.60  
  134.00     5.90    134.00     3.70    134.00     2.60  
  135.00     5.90    135.00     3.60    135.00     2.70  
  136.00     5.80    136.00     3.60    136.00     2.60  
  137.00     5.80    137.00     3.60    137.00     2.60  
  138.00     5.90    138.00     3.60    138.00     2.60  
  139.00     5.90    139.00     3.60    139.00     2.60  
  140.00     5.60    140.00     3.60    140.00     2.60  
  141.00     5.50    141.00     3.60    141.00     2.60  
  142.00     5.40    142.00     3.50    142.00     2.70  
  143.00     5.40    143.00     3.50    143.00     2.80  
  144.00     5.60    144.00     3.50    144.00     2.80  
  145.00     5.70    145.00     3.50    145.00     2.60  
  146.00     5.50    146.00     3.90    146.00     3.20  
  147.00     5.70    147.00     3.90    147.00     3.10  
  148.00     5.50    148.00     4.00    148.00     2.90  
  149.00     5.40    149.00     4.00    149.00     2.90  
  150.00     5.40    150.00     3.90    150.00     2.90  
  151.00     5.30    151.00     4.00    151.00     2.90  
  152.00     5.30    152.00     3.90    152.00     3.00  
  153.00     5.40    153.00     3.90    153.00     3.00  
  154.00     5.30    154.00     3.70    154.00     2.80  
  155.00     5.30    155.00     4.00    155.00     3.00  
  156.00     5.30    156.00     3.90    156.00     3.00  
  157.00     5.30    157.00     3.90    157.00     3.10  
  158.00     5.70    158.00     3.80    158.00     3.10  
  159.00     5.70    159.00     3.80    159.00     3.00  
  160.00     5.40    160.00     3.80    160.00     3.20  
  161.00     5.80    161.00     3.80    161.00     3.10  
  162.00     5.60    162.00     3.90    162.00     3.00  
  163.00     5.50    163.00     3.80    163.00     3.00  
  164.00     5.50    164.00     4.00    164.00     3.00  
  165.00     5.50    165.00     4.00    165.00     2.90  
  166.00     5.50    166.00     4.00    166.00     2.90  
  167.00     5.70    167.00     4.00    167.00     2.90  
  168.00     5.80    168.00     3.90    168.00     2.90  
  169.00     5.90    169.00     3.90    169.00     2.80  
  170.00     5.90    170.00     3.90    170.00     3.00  
  171.00     5.90    171.00     3.80    171.00     2.90  
  172.00     5.90    172.00     3.80    172.00     3.00  
  173.00     5.90    173.00     3.80    173.00     3.00  
  174.00     5.90    174.00     3.80    174.00     3.10  
  175.00     5.60    175.00     3.80    175.00     3.10  
  176.00     5.50    176.00     3.80    176.00     3.00  
  177.00     5.70    177.00     3.90    177.00     3.00  
  178.00     5.40    178.00     3.90    178.00     2.90  
  179.00     5.70    179.00     3.90    179.00     2.90  
  180.00     5.60    180.00     4.00    180.00     2.90  
  181.00     5.50    181.00     3.90    181.00     2.90  
  182.00     5.60    182.00     3.90    182.00     2.90  
  183.00     5.60    183.00     4.00    183.00     2.90  
  184.00     5.50    184.00     3.90    184.00     2.90  
  185.00     5.40    185.00     3.90    185.00     2.90  
  186.00     5.40    186.00     3.80    186.00     3.00  
  187.00     5.30    187.00     3.90    187.00     2.90  
  188.00     5.30    188.00     3.80    188.00     3.00  
  189.00     5.30    189.00     3.80    189.00     3.00  
  190.00     5.30    190.00     3.60    190.00     3.00  
  191.00     5.30    191.00     3.80    191.00     3.00  
  192.00     5.30    192.00     3.80    192.00     3.00  
  193.00     5.70    193.00     3.90    193.00     2.90  
  194.00     5.80    194.00     4.00    194.00     2.90  
  195.00     5.80    195.00     4.00    195.00     2.80  
  196.00     5.60    196.00     3.90    196.00     2.80  
  197.00     5.50    197.00     3.90    197.00     2.80  
  198.00     5.80    198.00     3.90    198.00     2.80  
  199.00     5.50    199.00     4.00    199.00     2.80  
  200.00     5.50    200.00     3.90    200.00     2.90  
  201.00     5.60    201.00     3.60    201.00     2.80  
  202.00     5.80    202.00     4.00    202.00     3.00  
  203.00     5.90    203.00     3.70    203.00     2.80  
  204.00     5.90    204.00     3.50    204.00     2.80  
  205.00     5.90    205.00     3.70    205.00     2.90  
  206.00     5.90    206.00     3.60    206.00     2.90  
  207.00     5.90    207.00     3.70    207.00     2.80  
  208.00     5.90    208.00     3.80    208.00     2.80  
  209.00     5.90    209.00     3.70    209.00     2.70  
  210.00     5.50    210.00     3.70    210.00     2.70  
  211.00     5.40    211.00     3.80    211.00     2.70  
  212.00     5.70    212.00     3.90    212.00     2.70  
  213.00     5.40    213.00     3.80    213.00     2.60  
  214.00     5.60    214.00     3.90    214.00     2.70  
  215.00     5.60    215.00     3.90    215.00     2.70  
  216.00     5.50    216.00     3.70    216.00     2.70  
  217.00     5.60    217.00     3.80    217.00     2.70  
  218.00     5.50    218.00     3.80    218.00     2.80  
  219.00     5.50    219.00     3.70    219.00     2.80  
  220.00     5.50    220.00     3.70    220.00     2.80  
  221.00     5.50    221.00     3.60    221.00     2.80  
  222.00     5.40    222.00     3.70    222.00     2.80  
  223.00     5.30    223.00     3.60    223.00     2.70  
  224.00     5.30    224.00     3.70    224.00     2.70  
  225.00     5.30    225.00     3.80    225.00     2.70  
  226.00     5.30    226.00     3.70    226.00     2.70  
  227.00     5.40    227.00     3.90    227.00     2.70  
  228.00     5.60    228.00     3.90    228.00     2.70  
  229.00     5.70    229.00     3.90    229.00     2.60  
