Date : 2022/09/24 (SAT)
Time : 07:22:54
   Film : Pattern         Review Cam  
     X        Y         X        Y    
  153.00  0.00000    153.00  0.00000  
  154.00  0.00000    154.00  0.00000  
  155.00  0.00569    155.00  0.00000  
  156.00  0.01827    156.00  0.00000  
  157.00  0.01387    157.00  0.00000  
  158.00  0.01672    158.00  0.00000  
  159.00  0.01099    159.00  0.00000  
  160.00  0.00500    160.00  0.00000  
  161.00  0.00339    161.00  0.00000  
  162.00  0.00000    162.00  0.00000  
  163.00  0.02263    163.00  0.00000  
  164.00  0.01899    164.00  0.00000  
  165.00 -0.00531    165.00  0.00000  
  166.00 -0.00916    166.00  0.00000  
  167.00 -0.00480    167.00  0.00000  
  168.00 -0.00377    168.00  0.00000  
  169.00 -0.00658    169.00  0.00000  
  170.00  0.00000    170.00  0.00000  
  171.00  0.00429    171.00  0.00000  
  172.00  0.00808    172.00  0.00000  
  173.00  0.00000    173.00  0.00000  
  174.00  0.00000    174.00  0.00000  
  175.00 -0.00704    175.00  0.00000  
  176.00 -0.00931    176.00  0.00000  
  177.00  0.00000    177.00  0.00000  
  178.00  0.00000    178.00  0.00000  
  179.00  0.01699    179.00  0.00000  
  180.00  0.02023    180.00  0.00000  
  181.00  0.01598    181.00  0.00000  
  182.00  0.01210    182.00  0.00000  
  183.00  0.00000    183.00  0.00000  
  184.00 -0.00418    184.00  0.00000  
  185.00 -0.00814    185.00  0.00000  
  186.00  0.00505    186.00  0.00000  
  187.00  0.01454    187.00  0.00000  
  188.00  0.02003    188.00  0.00000  
  189.00  0.01127    189.00  0.00000  
  190.00 -0.00426    190.00  0.00000  
  191.00 -0.01328    191.00  0.00000  
  192.00 -0.01496    192.00  0.00000  
  193.00 -0.00513    193.00  0.00000  
  194.00  0.00477    194.00  0.00000  
  195.00  0.01465    195.00  0.00000  
  196.00  0.01649    196.00  0.00000  
  197.00  0.01278    197.00  0.00000  
  198.00  0.00000    198.00  0.00000  
  199.00  0.00000    199.00  0.00000  
  200.00 -0.00480    200.00  0.00000  
  201.00 -0.00394    201.00  0.00000  
  202.00  0.00000    202.00  0.00000  
  203.00 -0.00655    203.00  0.00000  
  204.00 -0.01109    204.00  0.00000  
  205.00  0.00000    205.00  0.00000  
  206.00  0.00000    206.00  0.00000  
  207.00 -0.00318    207.00  0.00000  
  208.00 -0.01378    208.00  0.00000  
  209.00 -0.01140    209.00  0.00000  
