Date : 2022/09/08 (THU)
Time : 10:05:04
   Film : Pattern         Review Cam  
     X        Y         X        Y    
  154.00 -0.01259    154.00  0.00000  
  155.00  0.00479    155.00  0.00000  
  156.00  0.00950    156.00  0.00000  
  157.00  0.00000    157.00  0.00000  
  158.00  0.00000    158.00  0.00000  
  159.00  0.00000    159.00  0.00000  
  160.00  0.00000    160.00  0.00000  
  161.00  0.00000    161.00  0.00000  
  162.00  0.00000    162.00  0.00000  
  163.00 -0.01005    163.00  0.00000  
  164.00 -0.01136    164.00  0.00000  
  165.00  0.00417    165.00  0.00000  
  166.00  0.01421    166.00  0.00000  
  167.00  0.00000    167.00  0.00000  
  168.00 -0.00467    168.00  0.00000  
  169.00  0.00000    169.00  0.00000  
  170.00  0.00000    170.00  0.00000  
  171.00 -0.00404    171.00  0.00000  
  172.00 -0.00693    172.00  0.00000  
  173.00  0.00451    173.00  0.00000  
  174.00  0.01059    174.00  0.00000  
  175.00  0.00995    175.00  0.00000  
  176.00  0.00399    176.00  0.00000  
  177.00  0.00000    177.00  0.00000  
  178.00 -0.00918    178.00  0.00000  
  179.00 -0.01460    179.00  0.00000  
  180.00 -0.00873    180.00  0.00000  
  181.00  0.00331    181.00  0.00000  
  182.00  0.01223    182.00  0.00000  
  183.00  0.00615    183.00  0.00000  
  184.00  0.00000    184.00  0.00000  
  185.00  0.00000    185.00  0.00000  
  186.00  0.00000    186.00  0.00000  
  187.00 -0.00547    187.00  0.00000  
  188.00 -0.01097    188.00  0.00000  
  189.00  0.00000    189.00  0.00000  
  190.00  0.00655    190.00  0.00000  
  191.00  0.00382    191.00  0.00000  
  192.00 -0.00311    192.00  0.00000  
  193.00  0.00000    193.00  0.00000  
  194.00  0.00000    194.00  0.00000  
  195.00 -0.01050    195.00  0.00000  
  196.00 -0.01106    196.00  0.00000  
  197.00  0.01062    197.00  0.00000  
  198.00  0.01539    198.00  0.00000  
  199.00  0.00415    199.00  0.00000  
  200.00 -0.00335    200.00  0.00000  
  201.00  0.00000    201.00  0.00000  
  202.00 -0.01136    202.00  0.00000  
  203.00 -0.01359    203.00  0.00000  
  204.00 -0.01419    204.00  0.00000  
  205.00  0.00000    205.00  0.00000  
  206.00  0.00538    206.00  0.00000  
  207.00  0.00000    207.00  0.00000  
  208.00  0.00000    208.00  0.00000  
  209.00  0.00000    209.00  0.00000  
  210.00 -0.01195    210.00  0.00000  
  211.00 -0.01691    211.00  0.00000  
  212.00 -0.01381    212.00  0.00000  
  213.00  0.00823    213.00  0.00000  
  214.00  0.01228    214.00  0.00000  
  215.00  0.00000    215.00  0.00000  
  216.00 -0.01199    216.00  0.00000  
  217.00 -0.00847    217.00  0.00000  
  218.00 -0.01145    218.00  0.00000  
  219.00 -0.01622    219.00  0.00000  
  220.00 -0.00898    220.00  0.00000  
  221.00  0.00852    221.00  0.00000  
  222.00  0.01394    222.00  0.00000  
  223.00  0.00000    223.00  0.00000  
  224.00 -0.00506    224.00  0.00000  
  225.00  0.00000    225.00  0.00000  
  226.00 -0.00436    226.00  0.00000  
  227.00 -0.00688    227.00  0.00000  
  228.00  0.00000    228.00  0.00000  
  229.00  0.01235    229.00  0.00000  
  230.00  0.01296    230.00  0.00000  
  231.00  0.00000    231.00  0.00000  
  232.00 -0.00735    232.00  0.00000  
  233.00  0.00000    233.00  0.00000  
  234.00  0.00507    234.00  0.00000  
  235.00 -0.00338    235.00  0.00000  
  236.00 -0.00513    236.00  0.00000  
  237.00  0.01449    237.00  0.00000  
  238.00  0.01827    238.00  0.00000  
  239.00  0.01125    239.00  0.00000  
  240.00  0.00000    240.00  0.00000  
  241.00  0.00000    241.00  0.00000  
  242.00  0.00000    242.00  0.00000  
  243.00 -0.01125    243.00  0.00000  
  244.00 -0.01230    244.00  0.00000  
  245.00  0.00000    245.00  0.00000  
  246.00  0.01566    246.00  0.00000  
  247.00  0.00636    247.00  0.00000  
  248.00  0.00000    248.00  0.00000  
  249.00  0.00000    249.00  0.00000  
  250.00 -0.00410    250.00  0.00000  
  251.00 -0.01238    251.00  0.00000  
  252.00 -0.01049    252.00  0.00000  
  253.00  0.00431    253.00  0.00000  
  254.00  0.00446    254.00  0.00000  
  255.00  0.00000    255.00  0.00000  
  256.00  0.00000    256.00  0.00000  
  257.00  0.00476    257.00  0.00000  
  258.00  0.00000    258.00  0.00000  
  259.00 -0.01328    259.00  0.00000  
  260.00 -0.01100    260.00  0.00000  
  261.00  0.00000    261.00  0.00000  
  262.00  0.00989    262.00  0.00000  
  263.00  0.00000    263.00  0.00000  
  264.00 -0.00488    264.00  0.00000  
  265.00  0.00000    265.00  0.00000  
  266.00  0.00534    266.00  0.00000  
  267.00 -0.00311    267.00  0.00000  
  268.00 -0.00842    268.00  0.00000  
  269.00  0.00000    269.00  0.00000  
  270.00  0.01016    270.00  0.00000  
  271.00  0.00338    271.00  0.00000  
  272.00 -0.00716    272.00  0.00000  
  273.00 -0.00497    273.00  0.00000  
  274.00  0.00000    274.00  0.00000  
  275.00 -0.00651    275.00  0.00000  
  276.00 -0.00873    276.00  0.00000  
