Date : 2022/09/08 (THU)
Time : 10:05:18
         UnWinder        OutFeeder 1        OutFeeder 2  
     X        Y         X        Y         X        Y    
  120.00     5.90    120.00     4.20    120.00     3.00  
  121.00     5.90    121.00     4.10    121.00     2.80  
  122.00     5.90    122.00     4.10    122.00     2.90  
  123.00     5.90    123.00     4.10    123.00     3.00  
  124.00     5.90    124.00     4.10    124.00     3.00  
  125.00     5.90    125.00     4.10    125.00     3.10  
  126.00     5.90    126.00     4.10    126.00     3.10  
  127.00     5.90    127.00     4.10    127.00     3.00  
  128.00     5.90    128.00     4.20    128.00     2.90  
  129.00     5.90    129.00     4.20    129.00     2.80  
  130.00     5.90    130.00     4.20    130.00     2.90  
  131.00     5.80    131.00     4.20    131.00     2.80  
  132.00     5.60    132.00     4.20    132.00     2.80  
  133.00     5.60    133.00     4.20    133.00     2.90  
  134.00     5.50    134.00     4.10    134.00     3.00  
  135.00     5.50    135.00     4.10    135.00     3.00  
  136.00     5.40    136.00     4.10    136.00     3.10  
  137.00     5.40    137.00     4.10    137.00     3.10  
  138.00     5.40    138.00     4.10    138.00     3.00  
  139.00     5.40    139.00     4.20    139.00     2.90  
  140.00     5.40    140.00     4.20    140.00     2.80  
  141.00     5.30    141.00     4.10    141.00     2.80  
  142.00     5.40    142.00     4.10    142.00     2.90  
  143.00     5.40    143.00     4.10    143.00     3.00  
  144.00     5.30    144.00     4.20    144.00     3.00  
  145.00     5.30    145.00     4.10    145.00     3.10  
  146.00     5.40    146.00     4.10    146.00     3.20  
  147.00     5.80    147.00     4.10    147.00     3.10  
  148.00     5.50    148.00     4.20    148.00     3.10  
  149.00     5.70    149.00     4.20    149.00     2.90  
  150.00     5.60    150.00     4.10    150.00     3.00  
  151.00     5.60    151.00     4.00    151.00     2.90  
  152.00     5.70    152.00     4.00    152.00     2.90  
  153.00     5.80    153.00     4.10    153.00     3.00  
  154.00     5.80    154.00     4.10    154.00     3.00  
  155.00     5.90    155.00     4.10    155.00     3.00  
  156.00     5.90    156.00     4.10    156.00     3.10  
  157.00     5.90    157.00     4.10    157.00     3.10  
  158.00     5.90    158.00     4.10    158.00     3.10  
  159.00     5.90    159.00     3.80    159.00     2.70  
  160.00     5.90    160.00     4.20    160.00     2.80  
  161.00     5.90    161.00     4.00    161.00     2.80  
  162.00     5.90    162.00     4.00    162.00     2.80  
  163.00     5.90    163.00     4.10    163.00     2.90  
  164.00     5.90    164.00     4.10    164.00     3.00  
  165.00     5.90    165.00     4.10    165.00     3.10  
  166.00     5.90    166.00     3.90    166.00     3.10  
  167.00     5.60    167.00     4.00    167.00     3.10  
  168.00     5.70    168.00     4.10    168.00     3.10  
  169.00     5.60    169.00     4.10    169.00     2.90  
  170.00     5.60    170.00     4.10    170.00     3.00  
  171.00     5.50    171.00     4.10    171.00     2.80  
  172.00     5.50    172.00     4.00    172.00     2.90  
  173.00     5.50    173.00     4.00    173.00     3.00  
  174.00     5.50    174.00     4.10    174.00     3.10  
  175.00     5.40    175.00     4.10    175.00     3.10  
  176.00     5.40    176.00     3.90    176.00     3.10  
  177.00     5.40    177.00     4.10    177.00     3.10  
  178.00     5.40    178.00     4.10    178.00     3.20  
  179.00     5.30    179.00     4.10    179.00     3.10  
  180.00     5.30    180.00     4.20    180.00     3.00  
  181.00     5.40    181.00     3.80    181.00     2.70  
  182.00     5.70    182.00     4.10    182.00     2.90  
  183.00     5.40    183.00     4.10    183.00     2.90  
  184.00     5.90    184.00     4.10    184.00     3.00  
  185.00     5.50    185.00     4.10    185.00     3.00  
  186.00     5.50    186.00     4.00    186.00     3.10  
  187.00     5.60    187.00     4.00    187.00     3.10  
  188.00     5.60    188.00     3.90    188.00     3.10  
  189.00     5.60    189.00     4.10    189.00     3.00  
  190.00     5.80    190.00     4.10    190.00     2.90  
  191.00     5.80    191.00     4.10    191.00     2.90  
  192.00     5.80    192.00     4.10    192.00     2.90  
  193.00     5.90    193.00     4.00    193.00     3.00  
  194.00     5.90    194.00     4.10    194.00     3.10  
  195.00     5.90    195.00     4.10    195.00     3.10  
  196.00     5.90    196.00     4.00    196.00     3.10  
  197.00     5.90    197.00     4.00    197.00     3.00  
  198.00     5.90    198.00     4.00    198.00     3.10  
  199.00     6.00    199.00     4.10    199.00     3.00  
  200.00     5.90    200.00     4.10    200.00     2.90  
  201.00     5.90    201.00     4.10    201.00     2.90  
  202.00     5.90    202.00     4.10    202.00     2.80  
  203.00     5.60    203.00     4.10    203.00     2.90  
  204.00     5.70    204.00     4.10    204.00     2.90  
  205.00     5.70    205.00     4.10    205.00     3.10  
  206.00     5.70    206.00     4.10    206.00     3.10  
  207.00     5.80    207.00     3.90    207.00     3.10  
  208.00     5.80    208.00     4.00    208.00     3.30  
  209.00     5.80    209.00     3.60    209.00     2.70  
  210.00     5.60    210.00     4.10    210.00     2.90  
  211.00     5.50    211.00     4.10    211.00     2.80  
  212.00     5.50    212.00     4.00    212.00     2.80  
  213.00     5.40    213.00     4.10    213.00     2.80  
  214.00     5.40    214.00     4.00    214.00     2.90  
  215.00     5.40    215.00     4.00    215.00     3.00  
  216.00     5.40    216.00     3.90    216.00     3.00  
  217.00     5.40    217.00     4.00    217.00     3.00  
  218.00     5.40    218.00     3.90    218.00     3.10  
  219.00     5.30    219.00     4.10    219.00     3.00  
  220.00     5.30    220.00     4.20    220.00     2.80  
  221.00     5.60    221.00     4.10    221.00     2.90  
  222.00     5.70    222.00     4.10    222.00     2.70  
  223.00     5.50    223.00     4.10    223.00     2.80  
  224.00     5.40    224.00     4.00    224.00     2.90  
  225.00     5.50    225.00     3.90    225.00     3.00  
  226.00     5.50    226.00     4.10    226.00     3.00  
  227.00     5.70    227.00     4.00    227.00     3.10  
  228.00     5.80    228.00     4.00    228.00     3.10  
  229.00     5.80    229.00     4.10    229.00     3.00  
  230.00     5.80    230.00     4.20    230.00     2.90  
  231.00     5.90    231.00     4.20    231.00     2.90  
  232.00     5.90    232.00     4.20    232.00     2.90  
  233.00     5.90    233.00     4.20    233.00     2.90  
  234.00     5.90    234.00     4.10    234.00     3.00  
  235.00     5.90    235.00     4.10    235.00     3.00  
  236.00     5.90    236.00     4.10    236.00     3.00  
  237.00     5.90    237.00     4.10    237.00     3.10  
  238.00     5.90    238.00     4.10    238.00     3.10  
  239.00     5.90    239.00     4.10    239.00     3.00  
  240.00     5.90    240.00     4.10    240.00     3.00  
  241.00     5.90    241.00     4.20    241.00     2.90  
  242.00     5.60    242.00     4.20    242.00     2.90  
  243.00     5.70    243.00     4.10    243.00     2.90  
  244.00     5.90    244.00     4.10    244.00     2.90  
  245.00     5.90    245.00     4.10    245.00     3.00  
  246.00     5.90    246.00     4.10    246.00     3.00  
  247.00     5.80    247.00     4.10    247.00     3.10  
  248.00     5.60    248.00     4.10    248.00     3.10  
  249.00     5.50    249.00     4.10    249.00     3.10  
  250.00     5.50    250.00     4.10    250.00     3.10  
  251.00     5.50    251.00     4.20    251.00     3.00  
  252.00     5.40    252.00     4.10    252.00     2.90  
  253.00     5.40    253.00     4.20    253.00     2.90  
  254.00     5.40    254.00     4.20    254.00     2.90  
  255.00     5.40    255.00     4.10    255.00     3.00  
  256.00     5.30    256.00     4.10    256.00     3.10  
  257.00     5.40    257.00     4.10    257.00     3.00  
  258.00     5.70    258.00     4.10    258.00     3.10  
  259.00     5.50    259.00     4.10    259.00     3.10  
  260.00     5.50    260.00     4.00    260.00     3.00  
  261.00     5.60    261.00     4.20    261.00     2.90  
  262.00     5.60    262.00     4.20    262.00     2.90  
  263.00     5.60    263.00     4.10    263.00     2.80  
  264.00     5.70    264.00     4.20    264.00     3.00  
  265.00     5.80    265.00     4.10    265.00     2.90  
  266.00     5.80    266.00     4.10    266.00     3.00  
  267.00     5.90    267.00     4.10    267.00     3.00  
  268.00     5.90    268.00     3.90    268.00     3.10  
  269.00     6.00    269.00     3.90    269.00     3.10  
  270.00     5.90    270.00     3.90    270.00     3.10  
  271.00     5.90    271.00     4.10    271.00     3.00  
  272.00     5.90    272.00     4.20    272.00     2.90  
  273.00     5.90    273.00     4.10    273.00     2.80  
  274.00     6.00    274.00     4.20    274.00     2.90  
  275.00     5.90    275.00     4.10    275.00     2.90  
  276.00     5.90    276.00     4.00    276.00     2.90  
  277.00     5.90    277.00     4.10    277.00     3.00  
  278.00     5.70    278.00     4.10    278.00     3.00  
  279.00     5.70    279.00     4.20    279.00     3.10  
  280.00     5.70    280.00     4.10    280.00     3.00  
  281.00     5.80    281.00     4.20    281.00     3.00  
  282.00     5.90    282.00     4.20    282.00     2.90  
  283.00     5.90    283.00     4.10    283.00     2.80  
  284.00     5.60    284.00     4.10    284.00     2.80  
  285.00     5.80    285.00     4.10    285.00     2.90  
  286.00     5.60    286.00     4.00    286.00     3.00  
  287.00     5.50    287.00     4.10    287.00     3.00  
  288.00     5.50    288.00     4.00    288.00     3.10  
  289.00     5.40    289.00     4.00    289.00     3.10  
  290.00     5.30    290.00     4.10    290.00     3.10  
  291.00     5.40    291.00     4.10    291.00     3.00  
  292.00     5.30    292.00     4.20    292.00     2.90  
  293.00     5.80    293.00     4.20    293.00     2.90  
  294.00     5.80    294.00     4.20    294.00     2.90  
  295.00     5.40    295.00     4.20    295.00     3.00  
  296.00     5.80    296.00     4.10    296.00     3.10  
  297.00     5.50    297.00     4.10    297.00     3.00  
  298.00     5.50    298.00     4.10    298.00     3.10  
  299.00     5.50    299.00     4.00    299.00     3.00  
  300.00     5.50    300.00     4.10    300.00     3.10  
  301.00     5.50    301.00     4.10    301.00     3.00  
  302.00     5.60    302.00     4.20    302.00     3.00  
  303.00     5.80    303.00     4.20    303.00     3.00  
  304.00     5.80    304.00     4.10    304.00     2.90  
  305.00     5.90    305.00     4.10    305.00     2.80  
  306.00     5.90    306.00     3.80    306.00     2.80  
  307.00     6.00    307.00     4.10    307.00     3.00  
  308.00     6.00    308.00     4.10    308.00     3.10  
  309.00     5.90    309.00     4.10    309.00     3.10  
  310.00     5.90    310.00     4.10    310.00     3.10  
  311.00     5.90    311.00     4.20    311.00     3.00  
  312.00     5.90    312.00     4.20    312.00     3.00  
  313.00     5.90    313.00     4.20    313.00     2.90  
  314.00     5.90    314.00     4.20    314.00     2.90  
  315.00     5.90    315.00     4.20    315.00     2.90  
  316.00     5.50    316.00     4.10    316.00     3.00  
  317.00     5.90    317.00     4.10    317.00     3.10  
  318.00     5.60    318.00     4.10    318.00     3.10  
  319.00     5.80    319.00     4.00    319.00     3.20  
  320.00     5.80    320.00     4.00    320.00     3.10  
  321.00     5.80    321.00     4.10    321.00     3.10  
  322.00     5.60    322.00     4.20    322.00     2.90  
  323.00     5.50    323.00     4.20    323.00     2.90  
  324.00     5.50    324.00     4.20    324.00     2.90  
  325.00     5.40    325.00     4.10    325.00     2.80  
  326.00     5.40    326.00     4.10    326.00     3.00  
  327.00     5.40    327.00     4.10    327.00     3.10  
  328.00     5.40    328.00     4.10    328.00     3.00  
  329.00     5.40    329.00     4.00    329.00     3.10  
  330.00     5.40    330.00     4.00    330.00     3.10  
  331.00     5.30    331.00     4.00    331.00     3.10  
  332.00     5.40    332.00     4.10    332.00     3.00  
  333.00     5.30    333.00     4.20    333.00     3.00  
  334.00     5.70    334.00     4.20    334.00     3.00  
  335.00     5.60    335.00     4.10    335.00     2.90  
  336.00     5.40    336.00     4.10    336.00     2.90  
  337.00     5.40    337.00     4.10    337.00     2.90  
  338.00     5.60    338.00     4.10    338.00     2.90  
  339.00     5.60    339.00     4.10    339.00     3.10  
  340.00     5.70    340.00     4.00    340.00     3.00  
  341.00     5.80    341.00     4.00    341.00     2.90  
  342.00     5.80    342.00     4.00    342.00     2.90  
  343.00     5.90    343.00     3.90    343.00     2.70  
  344.00     6.00    344.00     4.00    344.00     2.70  
  345.00     5.90    345.00     3.90    345.00     2.80  
  346.00     6.00    346.00     3.90    346.00     2.80  
  347.00     5.90    347.00     4.00    347.00     2.90  
  348.00     5.90    348.00     3.90    348.00     2.90  
  349.00     5.90    349.00     3.90    349.00     2.90  
  350.00     5.90    350.00     3.90    350.00     3.00  
  351.00     5.90    351.00     3.80    351.00     3.00  
  352.00     5.90    352.00     4.00    352.00     2.90  
  353.00     5.90    353.00     4.00    353.00     2.90  
  354.00     5.90    354.00     4.10    354.00     2.80  
  355.00     5.90    355.00     4.00    355.00     2.80  
  356.00     5.60    356.00     3.90    356.00     2.80  
  357.00     5.70    357.00     3.90    357.00     2.90  
  358.00     5.80    358.00     4.00    358.00     2.90  
  359.00     5.80    359.00     4.00    359.00     3.00  
  360.00     5.60    360.00     4.00    360.00     3.00  
  361.00     5.50    361.00     4.00    361.00     3.00  
  362.00     5.50    362.00     4.10    362.00     3.10  
