Date : 2022/09/06 (TUE)
Time : 11:48:09
   Film : Pattern         Review Cam  
     X        Y         X        Y    
  148.00  0.05069    148.00 -0.10710  
  149.00  0.03134    149.00 -0.14333  
  150.00  0.00000    150.00 -0.15508  
  151.00 -0.00358    151.00 -0.14130  
  152.00  0.04666    152.00 -0.12253  
  153.00  0.03078    153.00 -0.14535  
  154.00 -0.01986    154.00 -0.14245  
  155.00 -0.02698    155.00 -0.14747  
  156.00  0.00000    156.00 -0.11783  
  157.00  0.00716    157.00 -0.15270  
  158.00  0.00000    158.00 -0.16341  
  159.00 -0.00665    159.00 -0.15709  
  160.00 -0.04564    160.00 -0.14954  
  161.00 -0.02711    161.00 -0.13817  
  162.00 -0.00376    162.00 -0.13336  
  163.00  0.00676    163.00 -0.14379  
  164.00  0.00611    164.00 -0.14584  
  165.00 -0.03492    165.00 -0.15034  
  166.00 -0.01519    166.00 -0.13091  
  167.00  0.00354    167.00 -0.12598  
  168.00  0.01456    168.00 -0.13647  
  169.00 -0.02012    169.00 -0.14122  
  170.00 -0.01817    170.00 -0.12641  
  171.00  0.05059    171.00 -0.11631  
  172.00  0.04220    172.00 -0.10985  
  173.00  0.00000    173.00 -0.12452  
  174.00  0.00000    174.00 -0.16506  
  175.00 -0.01402    175.00 -0.16560  
  176.00 -0.01299    176.00 -0.16291  
  177.00  0.00366    177.00 -0.15402  
  178.00  0.01939    178.00 -0.13720  
  179.00  0.00374    179.00 -0.12215  
  180.00  0.00468    180.00 -0.13739  
  181.00 -0.02373    181.00 -0.13645  
  182.00 -0.01335    182.00 -0.13694  
  183.00  0.00482    183.00 -0.14130  
  184.00  0.01022    184.00 -0.16482  
  185.00  0.01543    185.00 -0.15830  
  186.00  0.00303    186.00 -0.13640  
  187.00 -0.00402    187.00 -0.13167  
  188.00 -0.01000    188.00 -0.13170  
  189.00 -0.01332    189.00 -0.13309  
  190.00 -0.01077    190.00 -0.13033  
  191.00  0.01989    191.00 -0.13428  
  192.00  0.01786    192.00 -0.13534  
  193.00  0.00989    193.00 -0.14718  
  194.00 -0.00905    194.00 -0.13712  
  195.00  0.02063    195.00 -0.13043  
  196.00  0.01532    196.00 -0.12891  
  197.00  0.00422    197.00 -0.13779  
  198.00 -0.00928    198.00 -0.13624  
  199.00 -0.01495    199.00 -0.14395  
  200.00  0.00686    200.00 -0.12767  
  201.00  0.02993    201.00 -0.12276  
  202.00  0.01872    202.00 -0.13083  
  203.00 -0.00718    203.00 -0.13734  
  204.00 -0.02171    204.00 -0.14428  
  205.00  0.00000    205.00 -0.14920  
  206.00  0.00000    206.00 -0.14842  
  207.00  0.00000    207.00 -0.14037  
  208.00  0.00565    208.00 -0.12840  
  209.00  0.00929    209.00 -0.12510  
  210.00  0.00698    210.00 -0.14423  
  211.00  0.01093    211.00 -0.15606  
  212.00 -0.01907    212.00 -0.13729  
  213.00 -0.03600    213.00 -0.12899  
  214.00 -0.01254    214.00 -0.13580  
  215.00  0.00921    215.00 -0.12767  
  216.00  0.02377    216.00 -0.12731  
  217.00  0.02095    217.00 -0.12703  
  218.00  0.00000    218.00 -0.13002  
  219.00 -0.00486    219.00 -0.14497  
  220.00 -0.00398    220.00 -0.16585  
  221.00 -0.00645    221.00 -0.14534  
  222.00 -0.01143    222.00 -0.13297  
  223.00 -0.01345    223.00 -0.11972  
  224.00 -0.00457    224.00 -0.11615  
  225.00  0.01065    225.00 -0.13228  
  226.00  0.00911    226.00 -0.14053  
  227.00  0.00000    227.00 -0.13936  
  228.00 -0.00485    228.00 -0.14124  
  229.00 -0.00744    229.00 -0.14319  
  230.00 -0.00739    230.00 -0.14743  
  231.00  0.00460    231.00 -0.14160  
  232.00  0.01371    232.00 -0.13181  
  233.00  0.01612    233.00 -0.12833  
  234.00  0.00000    234.00 -0.13091  
  235.00 -0.00503    235.00 -0.12908  
  236.00 -0.00424    236.00 -0.14885  
  237.00 -0.00983    237.00 -0.14396  
  238.00 -0.01802    238.00 -0.14152  
  239.00  0.00000    239.00 -0.13120  
  240.00  0.00640    240.00 -0.12429  
  241.00  0.01194    241.00 -0.13230  
  242.00  0.00000    242.00 -0.13817  
  243.00  0.00000    243.00 -0.13481  
  244.00  0.00000    244.00 -0.13508  
  245.00  0.00000    245.00 -0.14184  
  246.00  0.00337    246.00 -0.14122  
  247.00  0.00986    247.00 -0.12971  
  248.00  0.01065    248.00 -0.12501  
  249.00  0.01007    249.00 -0.13221  
  250.00  0.00000    250.00 -0.13603  
  251.00  0.00000    251.00 -0.13679  
  252.00 -0.00448    252.00 -0.13213  
  253.00 -0.01213    253.00 -0.13531  
  254.00 -0.01277    254.00 -0.13684  
  255.00 -0.01020    255.00 -0.12344  
  256.00  0.00000    256.00 -0.12895  
  257.00  0.01543    257.00 -0.13899  
  258.00  0.00000    258.00 -0.13532  
  259.00  0.00000    259.00 -0.12566  
  260.00 -0.00488    260.00 -0.14140  
  261.00 -0.00792    261.00 -0.14576  
  262.00 -0.00340    262.00 -0.13738  
  263.00  0.00680    263.00 -0.13295  
  264.00  0.01821    264.00 -0.12938  
  265.00  0.00417    265.00 -0.13286  
  266.00 -0.00608    266.00 -0.13960  
  267.00 -0.01766    267.00 -0.13954  
  268.00 -0.02109    268.00 -0.13747  
  269.00 -0.01464    269.00 -0.13578  
  270.00  0.00557    270.00 -0.12770  
  271.00  0.02523    271.00 -0.13120  
  272.00  0.00812    272.00 -0.13723  
  273.00  0.00000    273.00 -0.14106  
  274.00  0.00000    274.00 -0.15121  
  275.00 -0.00400    275.00 -0.15797  
  276.00  0.00000    276.00 -0.14224  
  277.00  0.00715    277.00 -0.11584  
  278.00  0.01353    278.00 -0.12735  
  279.00  0.00000    279.00 -0.13361  
  280.00 -0.01578    280.00 -0.13689  
  281.00 -0.00689    281.00 -0.13918  
  282.00 -0.00465    282.00 -0.13964  
  283.00  0.00000    283.00 -0.13985  
  284.00  0.00310    284.00 -0.13336  
  285.00  0.01784    285.00 -0.13976  
  286.00  0.00707    286.00 -0.14405  
  287.00  0.00949    287.00 -0.14306  
  288.00  0.00000    288.00 -0.14310  
  289.00 -0.00459    289.00 -0.14176  
  290.00  0.00000    290.00 -0.13574  
  291.00  0.00991    291.00 -0.12491  
  292.00  0.02031    292.00 -0.13142  
  293.00  0.00876    293.00 -0.14274  
  294.00 -0.01161    294.00 -0.13429  
  295.00 -0.02193    295.00 -0.13963  
  296.00 -0.01587    296.00 -0.13268  
  297.00  0.01016    297.00 -0.12837  
  298.00  0.02637    298.00 -0.13802  
  299.00  0.00489    299.00 -0.14803  
  300.00  0.00000    300.00 -0.15364  
  301.00 -0.01808    301.00 -0.15592  
  302.00 -0.01746    302.00 -0.14662  
  303.00 -0.00815    303.00 -0.12323  
  304.00  0.00945    304.00 -0.13177  
  305.00  0.01341    305.00 -0.13433  
  306.00  0.00000    306.00 -0.13400  
  307.00 -0.01215    307.00 -0.15992  
  308.00 -0.00416    308.00 -0.14644  
  309.00  0.01484    309.00 -0.13051  
  310.00  0.02721    310.00 -0.12736  
  311.00  0.01828    311.00 -0.13130  
  312.00  0.00476    312.00 -0.13776  
  313.00 -0.00978    313.00 -0.14954  
  314.00 -0.00921    314.00 -0.14221  
  315.00  0.00000    315.00 -0.12419  
  316.00  0.00960    316.00 -0.12702  
  317.00  0.01375    317.00 -0.13255  
  318.00  0.00000    318.00 -0.14394  
  319.00 -0.01063    319.00 -0.15974  
  320.00 -0.00704    320.00 -0.14080  
  321.00  0.00891    321.00 -0.13231  
  322.00  0.02440    322.00 -0.13335  
  323.00  0.00762    323.00 -0.13864  
  324.00  0.00000    324.00 -0.14021  
  325.00 -0.01543    325.00 -0.13416  
  326.00 -0.01534    326.00 -0.12469  
  327.00  0.00000    327.00 -0.13425  
  328.00  0.00948    328.00 -0.13916  
  329.00  0.00366    329.00 -0.13902  
  330.00 -0.00692    330.00 -0.15347  
  331.00 -0.00643    331.00 -0.15522  
  332.00  0.00000    332.00 -0.14832  
  333.00  0.01248    333.00 -0.13598  
  334.00  0.00000    334.00 -0.13578  
  335.00 -0.03215    335.00 -0.14703  
  336.00 -0.01067    336.00 -0.13381  
  337.00  0.00373    337.00 -0.13299  
  338.00  0.00324    338.00 -0.11137  
  339.00  0.00845    339.00 -0.12167  
  340.00  0.00000    340.00 -0.11377  
  341.00  0.00511    341.00 -0.11628  
  342.00  0.00000    342.00 -0.13395  
  343.00 -0.00533    343.00 -0.14264  
  344.00  0.00335    344.00 -0.13096  
  345.00  0.01202    345.00 -0.14297  
  346.00  0.00851    346.00 -0.13676  
  347.00  0.00000    347.00 -0.13751  
  348.00 -0.01675    348.00 -0.13938  
  349.00 -0.01331    349.00 -0.13510  
  350.00  0.00000    350.00 -0.13190  
  351.00  0.01680    351.00 -0.13257  
  352.00  0.02482    352.00 -0.15227  
  353.00  0.02181    353.00 -0.14348  
  354.00  0.01270    354.00 -0.12563  
  355.00  0.01007    355.00 -0.12816  
  356.00 -0.01175    356.00 -0.12577  
  357.00 -0.02389    357.00 -0.11046  
  358.00 -0.02471    358.00 -0.11187  
  359.00 -0.01355    359.00 -0.12348  
  360.00  0.00343    360.00 -0.12875  
  361.00  0.01209    361.00 -0.13747  
  362.00  0.00467    362.00 -0.15998  
  363.00  0.00000    363.00 -0.14203  
  364.00 -0.03830    364.00 -0.14448  
  365.00 -0.02698    365.00 -0.12748  
  366.00  0.00000    366.00 -0.13370  
  367.00  0.00810    367.00 -0.13582  
  368.00  0.00505    368.00 -0.13849  
  369.00 -0.03398    369.00 -0.17185  
  370.00 -0.03355    370.00 -0.15910  
  371.00  0.00717    371.00 -0.14106  
  372.00  0.03189    372.00 -0.12647  
  373.00  0.01403    373.00 -0.13209  
  374.00  0.00000    374.00 -0.13769  
  375.00 -0.02811    375.00 -0.16551  
  376.00 -0.02230    376.00 -0.14293  
  377.00  0.00339    377.00 -0.11974  
  378.00  0.02181    378.00 -0.12769  
  379.00  0.01432    379.00 -0.12860  
  380.00  0.01466    380.00 -0.13138  
  381.00  0.00000    381.00 -0.13866  
  382.00  0.00000    382.00 -0.13678  
  383.00  0.00875    383.00 -0.13549  
  384.00 -0.02087    384.00 -0.14370  
  385.00 -0.00951    385.00 -0.14116  
  386.00  0.00595    386.00 -0.12749  
  387.00  0.04029    387.00 -0.13418  
  388.00  0.02658    388.00 -0.12860  
  389.00 -0.02152    389.00 -0.12772  
  390.00 -0.02459    390.00 -0.10818  
  391.00 -0.00722    391.00 -0.11985  
  392.00  0.01220    392.00 -0.14277  
  393.00  0.02254    393.00 -0.13129  
  394.00  0.02898    394.00 -0.13262  
  395.00  0.00000    395.00 -0.12437  
  396.00 -0.00977    396.00 -0.12186  
  397.00 -0.01611    397.00 -0.12207  
  398.00 -0.00539    398.00 -0.13560  
  399.00  0.00381    399.00 -0.15322  
  400.00  0.00000    400.00 -0.13924  
  401.00 -0.03506    401.00 -0.12892  
  402.00 -0.03297    402.00 -0.12430  
  403.00 -0.00974    403.00 -0.13042  
  404.00  0.00776    404.00 -0.14320  
  405.00  0.01680    405.00 -0.14220  
  406.00  0.00923    406.00 -0.15320  
  407.00 -0.02052    407.00 -0.16649  
  408.00 -0.02411    408.00 -0.15541  
  409.00 -0.01167    409.00 -0.13537  
  410.00  0.00000    410.00 -0.12359  
  411.00  0.00761    411.00 -0.12698  
  412.00  0.00936    412.00 -0.13656  
