Date : 2022/09/13 (TUE)
Time : 10:30:26
         UnWinder        OutFeeder 1        OutFeeder 2  
     X        Y         X        Y         X        Y    
  120.00     5.70    120.00     4.00    120.00     3.10  
  121.00     5.70    121.00     3.90    121.00     3.10  
  122.00     5.70    122.00     4.00    122.00     3.10  
  123.00     5.70    123.00     4.10    123.00     3.10  
  124.00     5.70    124.00     4.00    124.00     3.10  
  125.00     5.70    125.00     3.90    125.00     3.10  
  126.00     5.70    126.00     3.90    126.00     3.10  
  127.00     5.70    127.00     3.90    127.00     3.10  
  128.00     5.70    128.00     4.00    128.00     3.00  
  129.00     5.70    129.00     4.00    129.00     3.10  
  130.00     5.70    130.00     3.90    130.00     3.10  
  131.00     5.70    131.00     3.90    131.00     3.10  
  132.00     5.70    132.00     4.00    132.00     3.10  
  133.00     5.70    133.00     4.00    133.00     3.10  
  134.00     5.70    134.00     4.00    134.00     3.10  
  135.00     5.70    135.00     3.90    135.00     3.20  
  136.00     5.70    136.00     3.90    136.00     3.10  
  137.00     5.70    137.00     4.00    137.00     3.10  
  138.00     5.70    138.00     4.00    138.00     3.10  
  139.00     5.70    139.00     4.00    139.00     3.10  
  140.00     5.70    140.00     3.90    140.00     3.10  
  141.00     5.70    141.00     3.90    141.00     3.10  
  142.00     5.70    142.00     3.90    142.00     3.10  
  143.00     5.70    143.00     4.00    143.00     3.10  
  144.00     5.70    144.00     4.00    144.00     3.10  
  145.00     5.70    145.00     4.00    145.00     3.10  
  146.00     5.70    146.00     4.10    146.00     3.20  
  147.00     5.70    147.00     3.90    147.00     3.10  
  148.00     5.70    148.00     3.90    148.00     3.10  
  149.00     5.70    149.00     3.90    149.00     3.10  
  150.00     5.70    150.00     4.10    150.00     3.10  
  151.00     5.70    151.00     4.00    151.00     3.10  
  152.00     5.70    152.00     4.00    152.00     3.10  
  153.00     5.70    153.00     4.00    153.00     3.00  
  154.00     5.70    154.00     3.90    154.00     3.10  
  155.00     5.70    155.00     4.00    155.00     3.10  
  156.00     5.70    156.00     4.00    156.00     3.00  
  157.00     5.70    157.00     4.00    157.00     3.10  
  158.00     5.70    158.00     4.00    158.00     3.10  
  159.00     5.70    159.00     4.00    159.00     3.10  
  160.00     5.70    160.00     3.90    160.00     3.10  
  161.00     5.70    161.00     4.00    161.00     3.10  
  162.00     5.60    162.00     4.00    162.00     3.10  
  163.00     5.70    163.00     4.10    163.00     3.00  
  164.00     5.70    164.00     4.00    164.00     3.00  
  165.00     5.70    165.00     4.00    165.00     3.00  
  166.00     5.70    166.00     4.00    166.00     3.00  
  167.00     5.60    167.00     4.00    167.00     3.00  
  168.00     5.60    168.00     4.00    168.00     3.00  
  169.00     5.60    169.00     4.00    169.00     3.00  
  170.00     5.60    170.00     4.00    170.00     3.00  
  171.00     5.70    171.00     4.00    171.00     3.00  
  172.00     5.70    172.00     3.90    172.00     3.00  
  173.00     5.70    173.00     4.00    173.00     3.00  
  174.00     5.70    174.00     3.90    174.00     3.00  
  175.00     5.60    175.00     4.00    175.00     3.00  
  176.00     5.70    176.00     4.00    176.00     3.00  
  177.00     5.70    177.00     4.00    177.00     3.00  
  178.00     5.60    178.00     3.90    178.00     3.00  
  179.00     5.60    179.00     4.10    179.00     3.00  
  180.00     5.60    180.00     4.00    180.00     3.00  
  181.00     5.60    181.00     4.00    181.00     3.00  
  182.00     5.60    182.00     4.00    182.00     3.00  
  183.00     5.60    183.00     4.00    183.00     3.00  
  184.00     5.60    184.00     4.00    184.00     3.00  
  185.00     5.60    185.00     4.00    185.00     3.00  
  186.00     5.60    186.00     4.00    186.00     3.00  
  187.00     5.60    187.00     4.00    187.00     3.00  
  188.00     5.60    188.00     4.00    188.00     3.00  
  189.00     5.60    189.00     3.90    189.00     3.00  
  190.00     5.60    190.00     3.90    190.00     3.00  
  191.00     5.60    191.00     4.00    191.00     3.00  
  192.00     5.60    192.00     4.00    192.00     3.00  
  193.00     5.60    193.00     4.00    193.00     3.00  
  194.00     5.60    194.00     4.00    194.00     3.00  
  195.00     5.60    195.00     4.00    195.00     3.00  
  196.00     5.60    196.00     4.00    196.00     3.00  
  197.00     5.60    197.00     4.00    197.00     3.00  
  198.00     5.60    198.00     4.00    198.00     3.00  
  199.00     5.60    199.00     4.00    199.00     3.00  
  200.00     5.60    200.00     4.00    200.00     3.00  
  201.00     5.60    201.00     3.90    201.00     3.00  
  202.00     5.60    202.00     4.00    202.00     3.00  
  203.00     5.60    203.00     4.00    203.00     3.00  
  204.00     5.60    204.00     3.90    204.00     3.00  
  205.00     5.60    205.00     4.00    205.00     3.00  
  206.00     5.60    206.00     3.90    206.00     3.00  
  207.00     5.60    207.00     4.00    207.00     3.00  
  208.00     5.60    208.00     4.00    208.00     3.00  
  209.00     5.60    209.00     4.00    209.00     3.00  
  210.00     5.60    210.00     4.00    210.00     3.00  
  211.00     5.60    211.00     3.90    211.00     3.00  
  212.00     5.60    212.00     3.90    212.00     3.00  
  213.00     5.60    213.00     4.00    213.00     3.00  
  214.00     5.60    214.00     3.90    214.00     3.00  
  215.00     5.60    215.00     4.00    215.00     3.00  
  216.00     5.60    216.00     4.00    216.00     3.00  
